mol,CAS,Tox
O=[N+]([O-])c1c(C)c(C)ccc1,83-41-0,3.5599999
O=C1C(O)=CC(=O)c2c1cccc2,83-72-7,3.8
O=C(OCCCC)c1c(C(=O)OCCCC)cccc1,84-74-2,4.5999999
ClCc1c2c(ccc1)cccc2,86-52-2,3.4300001
Clc1c(C)c(N)ccc1,87-60-5,3.3800001
Clc1c(Cl)cccc1Cl,87-61-6,4.21
Clc1c(C)cc(O)cc1C,88-04-0,4.1999998
O=C(O)C(CC)CC,1988/9/5,2.848
FC(F)(F)c1c([N+](=O)[O-])ccc(O)c1,88-30-2,4.6500001
Oc1c(C(C)C)cccc1,88-69-7,3.6099999
O=[N+]([O-])c1c(C)cccc1,88-72-2,3.26
O=[N+]([O-])c1c(N)cccc1,88-74-4,3.0799999
Clc1cc([N+](=O)[O-])c(C)cc1,89-59-8,3.8199999
Clc1c(Cl)cc([N+](=O)[O-])c(Cl)c1,89-69-0,4.5300002
Clc1c(C=O)cccc1,89-98-5,3.49
O(C)c1c(O)cccc1,1990/5/1,2.49
Brc1c2c(ccc1)cccc2,1990/11/9,4.8600001
Ic1c2c(ccc1)cccc2,90-14-2,5.1700001
Oc1c(-c2ccccc2)cccc1,90-43-7,4.0900002
O(C)c1c(O)c(OC)ccc1,1991/10/1,2.4000001
n1c2c(ncc1)cccc2,91-19-0,2.7
O=[N+]([O-])c1c(OC)cccc1,91-23-6,2.9300001
O=C(C)c1ccc(-c2ccccc2)cc1,92-91-1,3.9200001
O(CC)c1c(O)cccc1,94-71-3,2.6400001
s1c2c(cc1)cccc2,95-15-8,3.26
Oc1c(N)cccc1,95-55-6,3.9400001
Clc1c(O)cccc1,95-57-8,3.1800001
Nc1c(C)cc(C)cc1,95-68-1,2.71
Clc1cc(C)c(N)cc1,95-69-2,3.3499999
Clc1c(Cl)ccc(C)c1,95-75-0,4.0700002
Clc1c(N)cc(C)cc1,95-81-8,3.2
O=CC(CC)C,96-17-3,2.6889999
ClCC(O)CO,96-24-2,1.37
BrCC(=O)OC,96-32-2,4.9590001
Clc1sccc1,96-43-5,2.4100001
Clc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1,97-00-7,5.1599998
O=C(OCCCC)C(=C)C,97-88-1,2.73
O=Cc1occc1,1998/1/1,2.98
ClC(Cl)(Cl)c1ccccc1,1998/7/7,2.73
OC(C)c1ccccc1,98-85-1,2.3399999
Clc1c(Cl)ccc([N+](=O)[O-])c1,99-54-7,4.1599998
O=[N+]([O-])c1cc(N)c(O)cc1,99-57-0,3.47
Oc1ccc(C(CC)C)cc1,99-71-8,3.98
Oc1ccc(C(C)C)cc1,99-89-8,3.47
O=C(C)c1ccc(O)cc1,99-93-4,2.7
O=[N+]([O-])c1ccc(C)cc1,99-99-0,3.6500001
Clc1ccc([N+](=O)[O-])cc1,100-00-5,3.4300001
O=[N+]([O-])c1ccc(N)cc1,100-01-6,4.1199999
O=[N+]([O-])c1ccc(OCC)cc1,100-29-8,3.8299999
ClCc1ccccc1,100-44-7,3.0599999
N#Cc1ccccc1,100-47-0,2.48
OCc1ccccc1,100-51-6,2.1700001
O/N=C/1\CCCCC\1,100-64-1,2.204
O(C)c1ccccc1,100-66-3,2.9000001
Oc1cc(Nc2ccccc2)ccc1,101-18-8,4.0100002
O=C(OC)Cc1ccccc1,101-41-7,2.5999999
O(Cc1ccccc1)c1ccc(O)cc1,103-16-2,4.04
O=C(OC)/C=C/c1ccccc1,103-26-4,3.5799999
O(CC)c1ccccc1,103-73-1,2.8599999
S=C(Nc1ccccc1)N,103-85-5,3.6099999
Nc1ccc(CCCC)cc1,104-13-2,4.0700002
Brc1ccc(OC)cc1,104-92-7,3.4000001
O=C(OCC)CCC,105-54-4,2.51
S=C(NCC)NCC,105-55-5,2.24
Brc1ccc(Cl)cc1,106-39-8,3.5599999
Clc1ccc(N)cc1,106-47-8,3.05
Clc1ccc(O)cc1,106-48-9,3.54
NCCC,107-10-8,2.293
OC(C#C)(CC(C)C)C,107-54-0,2.447
BrC(CCC)C,107-81-3,3.21
Clc1cc(N)ccc1,108-42-9,3.22
Oc1cc(C)cc(C)c1,108-68-9,3.1099999
Brc1ccccc1,108-86-1,3.0799999
Cc1cnccc1,108-99-6,2.01
BrCCCC,109-65-9,2.8199999
C(CC)CC,109-66-0,2.8
NCCCC,109-73-9,2.427
NCCCN,109-76-2,2.296
[nH]1cccc1,109-97-7,1.91
O=C(OCC(C)C)C,110-19-0,1.73
O=C(CCCCC)C,110-43-0,2.513
OCCNCC,110-73-6,1.351
C1=CCCCC1,110-83-8,2.99
O=C(O)CCCCCCCCC(=O)O,111-20-6,2.7320001
S(CCC)CCC,111-47-7,2.997
ClC(=O)CCCCCCC,111-64-8,3.415
O(CCO)CCCC,111-76-2,1.626
O=C(OC)/C=C/CCCCCC,111-79-5,4.04
O=CCCCCCCCCC,112-31-2,4.2820001
O=C(O)CCCCCCCCCC,112-37-8,3.898
OCCCCCCCCCCCC,112-53-8,5.1609998
O=CCCCCCCCCCCC,112-54-9,4.7600002
OCCCCCCCCCCCCC,112-70-9,5.4499998
OCCCCCCCCCCCCCC,112-72-1,4.6700001
O=[N+]([O-])c1c(O)ccc(N)c1,119-34-6,3.8800001
Clc1c(Cl)ccc(Cl)c1,120-82-1,4.0799999
Clc1c(O)ccc(Cl)c1,120-83-2,4.04
O=C(C)c1cc(O)ccc1,121-71-1,2.6199999
Clc1c(N)ccc([N+](=O)[O-])c1,121-87-9,3.75
O=C(OC)c1ccc(OC)cc1,121-98-2,3.3099999
O=C(Oc1ccccc1)C,122-79-2,2.77
O=C(Nc1ccc(C=O)cc1)C,122-85-0,2.78
O=CC(CCCC)CC,123-05-7,3.161
Oc1ccc(CC)cc1,123-07-9,3.21
O=Cc1ccc(O)cc1,123-08-0,3.266
O=C(OCC)CCC(=O)OCC,123-25-1,2.1489999
O=C(CC(=O)C)C,123-54-6,2.7279999
O=CCCCCCCC,124-13-0,3.483
OC(C#C)(C)c1ccccc1,127-66-2,2.8199999
O=C(OC)c1c(C(=O)OC)cccc1,131-11-3,2.5599999
O=C(OCC)C(C(=O)OCC)CC,133-13-1,2.7579999
O=C(c1ccc(C)cc1)c1ccccc1,134-84-9,4.4000001
Clc1ccc(C(=O)c2ccccc2)cc1,134-85-0,4.5
Oc1cc2c(cc1)cccc2,135-19-3,3.79
Oc1ccc(C(CC(C)(C)C)(C)C)cc1,140-66-9,5.0999999
O(C)c1ccc(CC=C)cc1,140-67-0,3.6400001
O=C(/C=C(\C)/C)C,141-79-7,2.3599999
O=C(O)CC(=O)O,141-82-2,2.2909999
O(C)c1ccc(O)cc1,150-76-5,2.8599999
S1c2c(Oc3c1cccc3)cccc2,262-20-4,5.04
Fc1c(C(=O)c2ccccc2)cccc1,342-24-5,3.96
Fc1c(N)cccc1,348-54-9,2.6300001
Fc1c(O)cccc1,367-12-4,3.1900001
Fc1cc(N)ccc1,372-19-0,2.9000001
Fc1cc(O)ccc1,372-20-3,3.3800001
Fc1cc(C(=O)C)c(O)cc1,394-32-1,3.04
Fc1c([N+](=O)[O-])ccc(O)c1,394-41-2,3.9300001
Fc1cc([N+](=O)[O-])c(C)cc1,446-10-6,3.25
Fc1cc(C=O)ccc1,456-48-4,3.154
Brc1ccc(F)cc1,460-00-4,3.1099999
O=C(O)C#C,471-25-0,2.7060001
Oc1c(O)cccc1C,488-17-5,3.28
Brc1c(Br)c(Br)c(O)c(O)c1Br,488-47-1,3.98
O=C(CCC)c1ccccc1,495-40-9,3.21
O(C)c1c(O)ccc(CO)c1,498-00-0,2.3
Oc1cc(O)cc(CCCCC)c1,500-66-3,4.3099999
O(C)c1cc(OC)cc(O)c1,500-99-2,2.9100001
O=C(CCCC)CCCC,502-56-7,3.0739999
Oc1cc(O)cc(C)c1,504-15-4,2.6099999
Oc1c(C)c(C)ccc1,526-75-0,3.1199999
Oc1cc(C)c(C)c(C)c1,527-54-8,3.9300001
O=C(N)c1c(C)cccc1,527-85-5,2.05
O=Cc1c(C)cccc1,529-20-4,3.0109999
OCc1ccc(C(C)C)cc1,536-60-7,3.1800001
C(C)c1ccncc1,536-75-4,2.54
Ic1ccc(O)cc1,540-38-5,3.8499999
O=C(N)CCC,541-35-5,1.215
ICCCC,542-69-8,3.3
ClCCC#N,542-76-7,2.0009999
ClCCCCC,543-59-9,3.1700001
S(CCCC)CCCC,544-40-1,4.04
O=[N+]([O-])c1cc(OC)ccc1,555-03-3,3.72
O=C(N)C(C)C,563-83-7,1.12
O=C(/C(=C/C)/C)C,565-62-8,2.6600001
O=[N+]([O-])c1c(O)c([N+](=O)[O-])ccc1,573-56-8,3.8299999
Cc1c(C)ccc2c1cccc2,573-98-8,4.3099999
Nc1c(CC)cccc1,578-54-1,2.78
Oc1cc(-c2ccccc2)ccc1,580-51-8,4.3499999
O=[N+]([O-])c1cc(O)cc([N+](=O)[O-])c1,586-11-8,4.4099998
Brc1ccc(C(=O)O)cc1,586-76-5,3.1800001
OCc1ccc(C)cc1,589-18-4,2.51
Ic1ccc(Br)cc1,589-87-7,3.3499999
O=COCCCC,592-84-7,2.066
S(CC=C)CC=C,592-88-1,2.6900001
S=C=NC(CC)(C)C,597-97-7,3.3529999
NC(C(C)C)C,598-74-3,2.2909999
O=C(C(=O)C)CC,600-14-6,2.8399999
O=[N+]([O-])c1c(C)cc(C)cc1C,603-71-4,3.8599999
c1(-c2ccccc2)c2c(ccc1)cccc2,605-02-7,5.04
O=[N+]([O-])c1c(O)c2c(c([N+](=O)[O-])c1)cccc2,605-69-6,4.8899999
Brc1c(N)c(Br)ccc1,608-30-0,3.9000001
O=[N+]([O-])c1occc1,609-39-2,3.74
O=[N+]([O-])c1sccc1,609-40-5,3.51
O=[N+]([O-])c1c(O)c([N+](=O)[O-])cc(C)c1,609-93-8,4.23
O=C(OC)c1occc1,611-13-2,2.1500001
O=Cc1c(OC)cc(OC)cc1,613-45-6,2.944
O=[N+]([O-])c1cc2c(nccc2)cc1,613-50-3,3.46
O=C(/C=C/c1ccccc1)c1ccccc1,614-47-1,4.5100002
Clc1c(O)ccc(O)c1,615-67-8,4.2600002
BrC(C(=O)OCC)CCCC,615-96-3,3.8599999
OC(CO)CN,616-30-8,1.188
N#Cc1occc1,617-90-3,2.29
BrC(Br)c1ccccc1,618-31-5,3.6400001
Clc1c(O)c(Cl)cc([N+](=O)[O-])c1,618-80-4,3.6099999
O=C(N)c1ccc(O)cc1,619-57-8,2.22
O=Cc1oc(C)cc1,620-02-0,2.97
Brc1ccc(C#N)cc1,623-00-7,3.29
O=C(OCC)/C=C/C,623-70-1,2.24
ICC#N,624-75-9,5.4689999
S(=O)(=O)(OCCCC)OCCCC,625-22-9,3.6210001
O=Cc1cc(C=O)ccc1,626-19-7,3.1800001
Clc1cc(Cl)cc(N)c1,626-43-7,3.71
Clc1cnccc1,626-60-8,2.29
O=C(OCC#C)C,627-09-8,1.834
O=[N+]([O-])CCCCC,628-05-7,2.5899999
BrCCCCCCBr,629-03-8,4.046
ClCCCCCCC,629-06-1,4.3600001
OCCCCCCO,629-11-8,1.505
Clc1c(Cl)c(Cl)cc(N)c1Cl,634-83-3,4.96
Clc1c(Cl)cc(N)c(Cl)c1,636-30-6,4.3000002
O=[N+]([O-])CCCCCC,646-14-0,3.04
FC(F)(F)C(=O)c1sccc1,651-70-7,2.9000001
O=C1OC(C)=CC(C)=C1,675-09-2,2.0699999
Cc1[nH]ccn1,693-98-1,2.0899999
O=C1OC(CC)CC1,695-06-7,1.76
O=[N+]([O-])c1oc(C=O)cc1,698-63-5,5.23
OCCc1ccc(C)cc1,699-02-5,2.74
Oc1c(C)c(C)c(O)cc1C,700-13-0,4.3400002
O=Cc1c(OC)cc(OC)cc1O,708-76-9,3.6170001
Oc1ccc(C#N)cc1,767-00-0,3.52
Fc1c(F)c(F)c(N)c(F)c1F,771-60-8,3.26
O=[N+]([O-])c1c2c(c(N)cc1)cccc2,776-34-1,4.1199999
P(=O)(c1ccccc1)(c1ccccc1)c1ccccc1,791-28-6,3.77
BrC/C=C/CBr,821-06-7,4.9250002
OCCCCC=C,821-41-0,2.1589999
N#Cc1ccc(N)cc1,873-74-5,3.24
O(C)c1ccc(C#N)cc1,874-90-8,3.0999999
OCCC#C,927-74-2,1.161
O=C(CCCCCCC)CC,928-80-3,3.6270001
OC/C=C\CCC,928-94-9,2.223
OCC/C=C/CC,928-97-2,2.223
ClC1CCCC1,930-28-9,2.6500001
Clc1c(Cl)cc(Cl)cc1O,933-78-8,5.3699999
O=C(CCCCC)c1ccccc1,942-92-7,4.1900001
OCC#CCCCC,1002-36-4,2.8110001
Brc1sccc1,1003-09-4,3.0899999
O=C1OC(c2ccccc2)CC1,1008-76-0,2.95
c1(-c2ccccc2)cnccc1,1008-88-4,3.47
Oc1c(O)cc(C(C)(C)C)cc1C(C)(C)C,1020-31-1,5.1100001
Brc1cnc(N)cc1,1072-97-5,3.49
BrCCCC=C,1119-51-3,3.013
O=C1C(C)CCC1,1120-72-5,1.8
Oc1ccc(C2CCCCC2)cc1,1131-60-8,4.5599999
O=C(c1ccc(O)cc1)c1ccccc1,1137-42-4,4.02
SCCCCCCS,1191-43-1,3.6259999
SCCCCCCCCS,1191-62-4,4.191
Fc1ccc(C#N)cc1,1194-02-1,2.74
Clc1c(Cl)c(Cl)c(O)c(O)c1Cl,1198-55-6,4.6999998
OCCc1cc2c(cc1)cccc2,1485-07-0,3.49
Oc1ccc(C2CCCC2)cc1,1518-83-8,4.29
O=C(OC)/C(=C/CC)/C,1567-14-2,2.6240001
O=C/C=C/CC,1576-87-0,3.6600001
OCc1cc(N)ccc1,1877-77-6,1.87
S(=O)(=O)(C=C)CC,1889-59-4,3.1099999
Brc1oc(C=O)cc1,1899-24-7,3.1300001
O=C(OC)COc1ccccc1,2065-23-8,2.79
OC(CC#C)C,2117/11/5,1.368
O=C(OC)c1c(O)cc(O)cc1,2150-47-2,3.6099999
O=C(OCC)C(C(=O)OCC)CCC,2163-48-6,3.1340001
O=C(Nc1ccccc1)C=C,2210-24-4,3.1159999
O=C(NC(C)C)C=C,2210-25-5,1.693
FC(F)(F)c1c(F)ccc(N)c1,2357-47-3,3.77
O=C(OCCOCC)C(=C)C,2370-63-0,2.22
NCC#C,2450-71-7,2.174
ClC(=O)CCCCCC,2528-61-2,3.4590001
O=C/C=C/CCCCC,2548-87-0,4.1999998
O=CC#Cc1ccccc1,2579-22-8,5.02
Clc1c(F)ccc(O)c1,2613-23-2,4.1300001
BrC(C(=O)O)CCCCCC,2623-82-7,3.4909999
O=C1C=C(C)CC1,2758-18-1,1.6799999
S=C(N(C)C)N(C)C,2782-91-4,2.1500001
O=C(OCC)c1sccc1,2810-04-0,3.03
ClCc1c(O)ccc([N+](=O)[O-])c1,2973-19-5,3.75
Brc1c(O)c(OC)cc(C=O)c1,2973-76-4,3.6199999
O=[N+]([O-])c1c(O)ccc(C=O)c1,3011-34-5,3.6099999
OC(C#CC(O)C)C,3031-66-1,2.54
O=C(N)c1ccc(C#N)cc1,3034-34-2,2.6199999
ClCCCC(=O)OCC,3153-36-4,2.7190001
c1(-c2cscc2)cscc1,3172-56-3,4
BrCC#CC,3355-28-0,4.276
S(=O)(=O)(C=C)C,3680/2/2,3.99
O=C(O)/C=C/CCCCCC,3760-11-0,3.5999999
C(CCc1occc1)CC,3777-69-3,3.9200001
O=C(C(=O)C)CCC,3848-24-6,2.79
OCCCCCCN,4048-33-3,2.0420001
OCC#CCCCCCCC,4117-14-0,3.9860001
O=[N+]([O-])c1c(N)nccc1,4214-75-9,2.99
O=C(OCCC(C)C)C=C,4245-35-6,3.4100001
[SH0](=O)(CCC)CCC,4253-91-2,1.78
O(CCCC)c1ccc(N)cc1,4344-55-2,3.6099999
OCCNC(C)(C)C,4620-70-6,1.327
O=C(OC(C)C)C(=C)C,4655-34-9,2.1199999
BrCC(=O)OC(C)(C)C,5292-43-3,5.4089999
O/N=C(/CCCCC)\C,5314-31-8,3.1029999
OC(CO)CCC,5343-92-0,1.373
OCc1c(N)cccc1,5344-90-1,1.9299999
BrCCCCC(=O)OC,5454-83-1,2.9200001
O=C(OCCCC)CC#N,5459-58-5,2.3900001
BrCC(=O)C(C)(C)C,5469-26-1,5.3769999
O=C/C=C/C=C/CCCC,5910-87-2,4.2199998
ClCCCCC#N,6280-87-1,2.3659999
O(CCCN)CC,6291-85-6,1.2970001
Clc1c(Cl)cc([N+](=O)[O-])c([N+](=O)[O-])c1,6306-39-4,5.21
OC1c2c(cccc2)CC1,6351/10/6,2.4200001
Clc1c(C=O)cc([N+](=O)[O-])cc1,6361-21-3,3.53
O=C/C=C/CCC,6728-26-3,3.77
Clc1cc(C(=O)N)c(O)cc1,7120-43-6,3.5899999
NCCCN1CCN(CCCN)CC1,7209-38-3,2.3399999
O=C(OCC)c1cc(O)ccc1,7781-98-8,3.48
O(CCCCCCC)c1ccc(O)cc1,13037-86-0,5.0300002
O=C(O)/C=C/CCC,13419-69-7,2.872
O=C(OCC#C)C(=C)C,13861-22-8,2.6300001
O=C(CC(=O)C)CCCC,14090-87-0,3.1300001
ClCCCC#C,14267-92-6,2.51
Brc1c(C)ccs1,14282-76-9,3.6199999
BrCCCCC(=O)OCC,14660-52-7,3.2179999
BrC(C(=O)N)CBr,15102-42-8,4.921
OC(CC)C,15892-23-6,1.4579999
BrC(C(Br)CC)CC,16230-28-7,3.9979999
Clc1nc(O)ccc1,16879-02-0,2.71
O=C(OCCCCC)CC#N,17686-39-4,2.6900001
Clc1c(Cl)c([N+](=O)[O-])ccc1Cl,17700-09-3,4.5100002
Clc1c(CO)cccc1,17849-38-6,2.9000001
O=C(OC(CCOC(=O)C=C)C)C=C,19485-03-1,4.1440001
Clc1c(Cl)c([N+](=O)[O-])c(Cl)c(Cl)c1[N+](=O)[O-],20098-38-8,5.8200002
OCC#CCCCCC,20739-58-6,3.194
BrCCCCCCC#N,20965-27-9,3.5120001
OC(CCC)c1ccccc1,22144-60-1,2.99
S=C=Nc1ccc(CCCC)cc1,23165-44-8,5.77
S=C(NCCCCCCCCCC)N,24827-74-5,4.9400001
Fc1c(O)c(F)ccc1,28177-48-2,3.47
Nc1ccc(C(CC)C)cc1,30273-11-1,3.6099999
C(CC)Cc1cscc1,34722-01-5,3.96
BrCC(=O)OCCC,35223-80-4,5.3099999
Clc1c([N+](=O)[O-])ccc(OC)n1,38533-61-8,4.3600001
BrC(C(=O)C(=O)C(Br)C)C,39081-91-9,5.1680002
S=C=Nc1cc(C)cc(C)c1,40046-30-8,4.8860002
BrCCCCCCCCO,50816-19-8,4.0419998
OCC#CCCCCCCCCCC,51887-25-3,5.3670001
O=[N+]([O-])c1c(N)c([N+](=O)[O-])cc(C(=O)N)c1,54321-79-8,3.51
OC(C#CCC)CC(C)C,60657-70-7,3.401
OC(C#C)CC(C)C,61996-79-0,3.6170001
S(=O)(=O)([O-])c1c[n+](Cc2ccccc2)ccc1,69723-94-0,1.5
Brc1cc(F)c(OC)c([N+](=O)[O-])c1,74266-66-3,3.97
OC/C=C/CCCCCCCC,75039-84-8,4.6110001
Fc1c(F)cc(N)c([N+](=O)[O-])c1,78056-39-0,3.75
O=[N+]([O-])c1c([N+](=O)[O-])ccc(CO)c1,79544-31-3,4.0900002
O=C/C(=C\C(CC=C)C)/C,80192-48-9,3.0799999
OCC(CC)c1ccccc1,89104-46-1,2.8900001
OC[C@@H](N)C(C)(C)C,112245-13-3,2.2820001
Clc1c([N+](=O)[O-])cc(N=C=S)cc1,127142-66-9,5.1100001
